regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;obitosAcumulado;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana;LATITUDE;LONGITUDE
Brasil;;;76;;;;2020-07-13;29;210147125;1884967;72833;1154837;657297;;;
Norte;RO;;11;;;;2020-07-13;29;1777225;27050;647;;;;-10.83; -63.34
Norte;AC;;12;;;;2020-07-13;29;881935;16260;430;;;;-8.77;-70.55
Norte;AM;;13;;;;2020-07-13;29;4144597;84412;3048;;;;-3.47;-65.10
Norte;RR;;14;;;;2020-07-13;29;605761;22627;397;;;;1.99;-61.33
Norte;PA;;15;;;;2020-07-13;29;8602865;126509;5293;;;;-3.79;-52.48
Norte;AP;;16;;;;2020-07-13;29;845731;31552;478;;;;1.41;-51.77
Norte;TO;;17;;;;2020-07-13;29;1572866;15307;259;;;;-9.46;-48.26
Nordeste;MA;;21;;;;2020-07-13;29;7075181;99830;2501;;;;-5.42;-45.44
Nordeste;PI;;22;;;;2020-07-13;29;3273227;33359;960;;;;-6.60;-42.28
Nordeste;CE;;23;;;;2020-07-13;29;9132078;137206;6947;;;;-5.20;-39.53
Nordeste;RN;;24;;;;2020-07-13;29;3506853;39800;1404;;;;-5.81;-36.59
Nordeste;PB;;25;;;;2020-07-13;29;4018127;61108;1302;;;;-7.28;-36.72
Nordeste;PE;;26;;;;2020-07-13;29;9557071;72901;5652;;;;-8.38;-37.86
Nordeste;AL;;27;;;;2020-07-13;29;3337357;46296;1297;;;;-9.62;-36.82
Nordeste;SE;;28;;;;2020-07-13;29;2298696;38221;1012;;;;-10.57; -37.45
Nordeste;BA;;29;;;;2020-07-13;29;14873064;106891;2535;;;;-13.29; -41.71
Sudeste;MG;;31;;;;2020-07-13;29;21168791;76822;1615;;;;-18.10; -44.38
Sudeste;ES;;32;;;;2020-07-13;29;4018650;63879;2040;;;;-19.19; -40.34
Sudeste;RJ;;33;;;;2020-07-13;29;17264943;132044;11474;;;;-22.25; -42.66
Sudeste;SP;;35;;;;2020-07-13;29;45919049;374607;17907;;;;-22.19; -48.79
Sul;PR;;41;;;;2020-07-13;29;11433957;43582;1089;;;;-24.89; -51.55
Sul;SC;;42;;;;2020-07-13;29;7164788;43815;517;;;;-27.45; -50.95
Sul;RS;;43;;;;2020-07-13;29;11377239;39656;995;;;;-30.17; -53.50
Centro-Oeste;MS;;50;;;;2020-07-13;29;2778986;13461;167;;;;-20.51; -54.54
Centro-Oeste;MT;;51;;;;2020-07-13;29;3484466;28792;1085;;;;-12.64; -55.42
Centro-Oeste;GO;;52;;;;2020-07-13;29;7018354;36696;852;;;;-15.98; -49.86
Centro-Oeste;DF;;53;;;;2020-07-13;29;3015268;72284;930;;;;-15.83; -47.86
